,Review-Body,label
3168,poor performance,0
3167,definitely a great mobile for day to day work,0
3166,overall good product in this range,0
3165,mobile charging is very slow,0
3164,camera quality is very poor,0
3163,mi note,0
3134,worst mobiledo not purchasethis is repaired mobile,0
3162,this is not for gamers,0
3160,late delivery,0
3159,nice phone,0
3158,i like it,0
3157,voice clarity is not good,0
3156,camera is awesome,0
3155,note good mobile phone,0
3154,good interface,0
3161,the media could not be loaded,0
3133,better mobile in this price range,0
3132,battery backup could be more,0
3131,video quality while video call is very poor,0
3110,quality is very bad,0
3109,some problem for toch screen,0
3108,pros,0
3107,overall good phone,0
3106,good cameragood lookinglong tym batteryi impresd,0
3105,ok tipe ka phone hai leg karta hai refresh rate,0
3104,dislike,0
3111,this phone battery is good but it takes long time to charge,0
3103,the front camera quality is too bad,0
3101,all over ok looking good battery is good but camera quality is very poor,0
3100,good quality,0
3099,looks and battery is good,0
3098,the back body gives plastic feel,0
3097,good but no headset and back cover nothing but mentioned not given,0
3096,all good but phone hi churaliya kisi ne,0
3095,camera is too bad,0
3102,much better for price in all future,0
3170,i bought it preferably cuz of,0
3112,,0
3114,good,0
3130,product s satisfactory,0
3129,apps open very leggy,0
3128,the phone was good but cemra is normal,0
3127,great phone at such a less price,0
3126,good quality,0
3125,,0
3124,just buy,0
3113,worst ui funtouch os needs to improve a lot as notification centre is same as in android version,0
3123,the media could not be loaded,0
